Year,Month,"Nuclear Generating Units, Total Operable Units","Nuclear Generating Units, Net Summer Capacity",Nuclear Electricity Net Generation,Nuclear Share of Electricity Net Generation,capacity_factor,month_num,date
1994,December,109,99.148,60497,22.4,82.0,12,1994-12-01
1995,January,109,99.148,63342,22.6,85.9,1,1995-01-01
1995,February,109,99.148,51858,20.6,77.8,2,1995-02-01
1995,March,109,99.148,51880,19.9,70.3,3,1995-03-01
1995,April,109,99.148,49321,20.2,69.2,4,1995-04-01
1995,May,109,99.148,54387,20.6,73.7,5,1995-05-01
1995,June,109,99.148,56381,19.7,79.0,6,1995-06-01
1995,July,109,99.515,62037,18.8,83.8,7,1995-07-01
1995,August,109,99.515,61661,17.8,83.3,8,1995-08-01
1995,September,109,99.515,55690,20.1,77.7,9,1995-09-01
1995,October,109,99.515,54293,20.6,73.2,10,1995-10-01
1995,November,109,99.515,52708,20.2,73.6,11,1995-11-01
1995,December,109,99.515,59844,21.0,80.8,12,1995-12-01
1996,January,109,99.515,62942,21.2,85.0,1,1996-01-01
1996,February,110,100.908,55928,20.7,79.7,2,1996-02-01
1996,March,110,100.908,55474,20.2,73.9,3,1996-03-01
1996,April,110,100.908,50325,20.0,69.4,4,1996-04-01
1996,May,110,100.908,55637,19.7,74.1,5,1996-05-01
1996,June,110,100.908,57498,19.0,79.1,6,1996-06-01
1996,July,110,100.908,60953,18.6,81.2,7,1996-07-01
1996,August,110,100.908,61477,18.7,81.9,8,1996-08-01
1996,September,110,100.908,54593,19.3,75.1,9,1996-09-01
1996,October,110,100.908,50612,18.6,67.3,10,1996-10-01
1996,November,110,100.908,52132,19.4,71.8,11,1996-11-01
1996,December,109,100.784,57159,20.1,76.2,12,1996-12-01
1997,January,109,100.784,58914,19.6,78.6,1,1997-01-01
1997,February,109,100.784,50658,19.6,74.8,2,1997-02-01
1997,March,109,100.784,50414,18.5,67.2,3,1997-03-01
1997,April,109,100.784,44883,17.4,61.9,4,1997-04-01
1997,May,109,100.784,47032,17.2,62.7,5,1997-05-01
1997,June,109,100.784,52095,17.4,71.8,6,1997-06-01
1997,July,109,100.784,57352,16.6,76.5,7,1997-07-01
1997,August,107,99.716,61084,18.3,82.3,8,1997-08-01
1997,September,107,99.716,52586,17.5,70.9,9,1997-09-01
1997,October,107,99.716,46981,16.5,63.3,10,1997-10-01
1997,November,107,99.716,51189,18.9,69.0,11,1997-11-01
1997,December,107,99.716,55457,18.7,74.8,12,1997-12-01
1998,January,105,99.716,57889,19.6,78.0,1,1998-01-01
1998,February,105,99.716,50999,19.6,76.1,2,1998-02-01
1998,March,105,99.716,53711,18.7,72.4,3,1998-03-01
1998,April,105,99.716,47503,18.2,66.2,4,1998-04-01
1998,May,105,99.716,51496,17.2,69.4,5,1998-05-01
1998,June,105,99.716,55732,16.9,77.6,6,1998-06-01
1998,July,104,97.07,61499,17.0,85.1,7,1998-07-01
1998,August,104,97.07,60369,16.9,83.6,8,1998-08-01
1998,September,104,97.07,57206,17.9,81.8,9,1998-09-01
1998,October,104,97.07,57429,20.2,79.5,10,1998-10-01
1998,November,104,97.07,57372,21.5,82.1,11,1998-11-01
1998,December,104,97.07,62497,21.0,86.5,12,1998-12-01
1999,January,104,97.502,65689,20.8,90.2,1,1999-01-01
1999,February,104,97.502,57489,20.9,87.4,2,1999-02-01
1999,March,104,97.502,58838,19.7,80.8,3,1999-03-01
1999,April,104,97.502,48529,17.3,68.8,4,1999-04-01
1999,May,104,97.502,56057,18.7,76.9,5,1999-05-01
1999,June,104,97.502,62300,18.9,88.4,6,1999-06-01
1999,July,104,97.502,66815,17.7,92.1,7,1999-07-01
1999,August,104,97.502,68143,18.7,94.1,8,1999-08-01
1999,September,104,97.502,60935,19.9,86.9,9,1999-09-01
1999,October,104,97.502,55343,19.5,76.7,10,1999-10-01
1999,November,104,97.502,60552,22.3,86.6,11,1999-11-01
1999,December,104,97.411,67563,22.9,94.4,12,1999-12-01
2000,January,104,97.411,70762,21.6,93.8,1,2000-01-01
2000,February,104,97.411,64179,21.8,91.0,2,2000-02-01
2000,March,104,97.411,62737,20.8,83.5,3,2000-03-01
2000,April,104,97.411,58259,20.4,80.2,4,2000-04-01
2000,May,104,97.411,63976,19.8,84.8,5,2000-05-01
2000,June,104,97.411,67299,19.8,92.1,6,2000-06-01
2000,July,104,97.411,68972,19.3,95.4,7,2000-07-01
2000,August,104,97.411,67226,18.2,93.8,8,2000-08-01
2000,September,104,97.411,58267,18.6,87.8,9,2000-09-01
2000,October,104,97.411,52470,18.1,76.2,10,2000-10-01
2000,November,104,97.411,56471,19.8,85.0,11,2000-11-01
2000,December,104,97.86,63276,19.8,93.2,12,2000-12-01
2001,January,104,98.159,68707,20.7,94.1,1,2001-01-01
2001,February,104,98.159,61272,21.7,92.9,2,2001-02-01
2001,March,104,98.159,62141,20.7,85.1,3,2001-03-01
2001,April,104,98.159,56003,20.1,79.2,4,2001-04-01
2001,May,104,98.159,61512,20.5,84.2,5,2001-05-01
2001,June,104,98.159,68023,20.8,96.3,6,2001-06-01
2001,July,104,98.159,69166,19.3,94.7,7,2001-07-01
2001,August,104,98.159,68389,18.5,93.7,8,2001-08-01
2001,September,104,98.159,63378,20.6,89.7,9,2001-09-01
2001,October,104,98.159,60461,20.5,82.8,10,2001-10-01
2001,November,104,98.159,62342,22.3,88.2,11,2001-11-01
2001,December,104,98.159,67431,22.1,92.3,12,2001-12-01
2002,January,104,98.657,70926,22.2,96.6,1,2002-01-01
2002,February,104,98.657,61658,21.9,93.0,2,2002-02-01
2002,March,104,98.657,63041,20.8,85.9,3,2002-03-01
2002,April,104,98.657,58437,20.2,82.3,4,2002-04-01
2002,May,104,98.657,63032,20.5,85.9,5,2002-05-01
2002,June,104,98.657,66372,19.5,93.4,6,2002-06-01
2002,July,104,98.657,70421,18.5,95.9,7,2002-07-01
2002,August,104,98.657,70778,18.9,96.4,8,2002-08-01
2002,September,104,98.657,64481,19.5,90.8,9,2002-09-01
2002,October,104,98.657,60493,19.7,82.4,10,2002-10-01
2002,November,104,98.657,61520,20.8,86.6,11,2002-11-01
2002,December,104,98.657,68905,21.2,93.9,12,2002-12-01
2003,January,104,99.209,69211,20.2,93.8,1,2003-01-01
2003,February,104,99.209,60942,20.4,91.4,2,2003-02-01
2003,March,104,99.209,59933,19.7,81.2,3,2003-03-01
2003,April,104,99.209,56776,19.9,79.5,4,2003-04-01
2003,May,104,99.209,62202,20.2,84.3,5,2003-05-01
2003,June,104,99.209,64181,19.5,89.9,6,2003-06-01
2003,July,104,99.209,69653,18.6,94.4,7,2003-07-01
2003,August,104,99.209,69024,18.1,93.5,8,2003-08-01
2003,September,104,99.209,63584,19.7,89.0,9,2003-09-01
2003,October,104,99.209,60016,19.6,81.3,10,2003-10-01
2003,November,104,99.209,59600,20.0,83.4,11,2003-11-01
2003,December,104,99.209,68612,20.7,93.0,12,2003-12-01
2004,January,104,99.628,70806,20.4,95.5,1,2004-01-01
2004,February,104,99.628,64102,20.4,92.4,2,2004-02-01
2004,March,104,99.628,63285,20.5,85.4,3,2004-03-01
2004,April,104,99.628,58620,20.2,81.7,4,2004-04-01
2004,May,104,99.628,64917,19.8,87.6,5,2004-05-01
2004,June,104,99.628,67734,19.6,94.4,6,2004-06-01
